Benchmark;Size;Score (ns/op)
"testAddAll";10000;36522.094794642195
"testAddAll";20000;58331.27445069984
"testAddAll";30000;69525.6468614277
"testAddAll";40000;85150.5035036914
"testAddAll";50000;94950.96895136588
"testAddAll";60000;115231.5697445216
"testAddAll";70000;133447.6070508351
"testAddAll";80000;145055.37099322997
"testAddAll";90000;164344.7687237858
"testAddAll";100000;179463.2630598655
"testAddAllAtIndex";10000;12099.072971361673
"testAddAllAtIndex";20000;23797.603307931888
"testAddAllAtIndex";30000;37484.65817625769
"testAddAllAtIndex";40000;46479.97285340516
"testAddAllAtIndex";50000;58140.22985871397
"testAddAllAtIndex";60000;69448.7041783599
"testAddAllAtIndex";70000;78830.44728067047
"testAddAllAtIndex";80000;92422.22913067215
"testAddAllAtIndex";90000;101163.17586957288
"testAddAllAtIndex";100000;113338.00701895214
"testAddAtIndex";10000;9727.952288114955
"testAddAtIndex";20000;19455.04758543936
"testAddAtIndex";30000;28746.026009732996
"testAddAtIndex";40000;37812.51894485413
"testAddAtIndex";50000;46799.887226723615
"testAddAtIndex";60000;56008.66151169777
"testAddAtIndex";70000;66778.30413656158
"testAddAtIndex";80000;75853.15014136872
"testAddAtIndex";90000;83348.74209531632
"testAddAtIndex";100000;91676.75414594648
"testAddElement";10000;26847.485057216854
"testAddElement";20000;45984.99513341025
"testAddElement";30000;63426.76285231424
"testAddElement";40000;88428.22777959704
"testAddElement";50000;109955.12963461285
"testAddElement";60000;148775.72656088654
"testAddElement";70000;172178.5312586618
"testAddElement";80000;195956.49009417635
"testAddElement";90000;243541.07279325704
"testAddElement";100000;257678.35108866583
"testClear";10000;17.161737497214446
"testClear";20000;19.35341994125395
"testClear";30000;21.78050755409235
"testClear";40000;21.03521756411422
"testClear";50000;25.67719999076568
"testClear";60000;30.372622202056043
"testClear";70000;29.531549555650116
"testClear";80000;33.67071213964262
"testClear";90000;32.7040217424892
"testClear";100000;36.017484469957914
"testClone";10000;9.17539572848485E7
"testClone";20000;3.674531346E8
"testClone";30000;8.177197084E8
"testClone";40000;1.4706544165E9
"testClone";50000;2.2975402958E9
"testClone";60000;3.299293154E9
"testClone";70000;4.4174201708E9
"testClone";80000;5.8290041209E9
"testClone";90000;7.2931230876E9
"testClone";100000;8.9017624541E9
"testConstructorDefault";10000;15.187252424750701
"testConstructorDefault";20000;15.665450708127068
"testConstructorDefault";30000;17.14434981435588
"testConstructorDefault";40000;19.94952935749064
"testConstructorDefault";50000;21.47359159375611
"testConstructorDefault";60000;33.87639222639119
"testConstructorDefault";70000;43.28655180817603
"testConstructorDefault";80000;33.57497979589026
"testConstructorDefault";90000;36.87859198865717
"testConstructorDefault";100000;34.12318715235845
"testContains";10000;10668.666425323527
"testContains";20000;21468.08468389711
"testContains";30000;32460.185083158263
"testContains";40000;42110.4313790147
"testContains";50000;51543.26299780298
"testContains";60000;60811.12335656162
"testContains";70000;71799.96821682749
"testContains";80000;82493.50549876915
"testContains";90000;92277.85919334649
"testContains";100000;101748.9964565745
"testContainsAll";10000;64781.49943887924
"testContainsAll";20000;106548.14637839759
"testContainsAll";30000;141185.31962467235
"testContainsAll";40000;170716.32303872338
"testContainsAll";50000;204729.21192746572
"testContainsAll";60000;243819.41010599077
"testContainsAll";70000;267693.6268652511
"testContainsAll";80000;310076.01662625175
"testContainsAll";90000;363571.6181317567
"testContainsAll";100000;507754.09395671997
"testEmpty";10000;17.303369098565906
"testEmpty";20000;17.679692582222252
"testEmpty";30000;21.447409137792263
"testEmpty";40000;24.930626316524656
"testEmpty";50000;35.168043324182364
"testEmpty";60000;40.726842485628154
"testEmpty";70000;39.087697822213606
"testEmpty";80000;36.43504952546343
"testEmpty";90000;35.89082878976134
"testEmpty";100000;38.05704016999209
"testEquals";10000;9.054499938257577E7
"testEquals";20000;3.6119985E8
"testEquals";30000;8.118430479E8
"testEquals";40000;1.4365313836E9
"testEquals";50000;2.2545389666E9
"testEquals";60000;3.1725803001E9
"testEquals";70000;4.3057611626E9
"testEquals";80000;5.6174369666E9
"testEquals";90000;7.1189591959E9
"testEquals";100000;8.7803556959E9
"testGet";10000;9730.587853924453
"testGet";20000;19363.589952491704
"testGet";30000;28395.26922338844
"testGet";40000;37532.00152093372
"testGet";50000;46466.88586100279
"testGet";60000;55430.00650879303
"testGet";70000;64406.35517298392
"testGet";80000;73587.07348648853
"testGet";90000;82544.72335320414
"testGet";100000;91625.48751147189
"testHashCode";10000;8.982889688333333E7
"testHashCode";20000;3.597000055E8
"testHashCode";30000;8.022093333E8
"testHashCode";40000;1.4142404418E9
"testHashCode";50000;2.1907212876E9
"testHashCode";60000;3.1506506833E9
"testHashCode";70000;4.2818753753E9
"testHashCode";80000;5.6010619959E9
"testHashCode";90000;7.1258705374E9
"testHashCode";100000;8.7908643167E9
"testIndexOf";10000;18972.22619541749
"testIndexOf";20000;52769.043664116805
"testIndexOf";30000;79373.78660136447
"testIndexOf";40000;84702.13498334891
"testIndexOf";50000;79329.02605073064
"testIndexOf";60000;89768.63653663966
"testIndexOf";70000;107994.10406865862
"testIndexOf";80000;114450.85629227494
"testIndexOf";90000;117081.71957332765
"testIndexOf";100000;135722.0222697617
"testIndexOfWithFromIndex";10000;19072.670951415785
"testIndexOfWithFromIndex";20000;52688.53440049871
"testIndexOfWithFromIndex";30000;79211.13684643399
"testIndexOfWithFromIndex";40000;85322.1837089035
"testIndexOfWithFromIndex";50000;79564.81436915109
"testIndexOfWithFromIndex";60000;94223.8235906203
"testIndexOfWithFromIndex";70000;102881.46253760043
"testIndexOfWithFromIndex";80000;109701.87242845635
"testIndexOfWithFromIndex";90000;127077.1075992316
"testIndexOfWithFromIndex";100000;131542.92900180593
"testIsEmpty";10000;14.423486173304946
"testIsEmpty";20000;15.163214775602986
"testIsEmpty";30000;17.29353549217406
"testIsEmpty";40000;21.47260591319028
"testIsEmpty";50000;23.895090205931375
"testIsEmpty";60000;26.03832640137071
"testIsEmpty";70000;31.043916565488086
"testIsEmpty";80000;33.23000902745322
"testIsEmpty";90000;36.152606353301074
"testIsEmpty";100000;40.57076627566615
"testIterator";10000;9.001862226666668E7
"testIterator";20000;3.600993041666666E8
"testIterator";30000;8.1026938135E8
"testIterator";40000;1.4350744915E9
"testIterator";50000;2.2052673874E9
"testIterator";60000;3.1592455417E9
"testIterator";70000;4.2902625874E9
"testIterator";80000;5.6152225668E9
"testIterator";90000;7.12062125E9
"testIterator";100000;8.7854238292E9
"testLastIndexOfWithFromIndex";10000;10566.216962919334
"testLastIndexOfWithFromIndex";20000;21278.406900208232
"testLastIndexOfWithFromIndex";30000;30419.44034741748
"testLastIndexOfWithFromIndex";40000;38721.709970511765
"testLastIndexOfWithFromIndex";50000;45365.09513657573
"testLastIndexOfWithFromIndex";60000;51893.84509367078
"testLastIndexOfWithFromIndex";70000;61109.37571581812
"testLastIndexOfWithFromIndex";80000;69073.81339463464
"testLastIndexOfWithFromIndex";90000;78675.99490857984
"testLastIndexOfWithFromIndex";100000;86366.80963316231
"testListIterator";10000;8.956427915833333E7
"testListIterator";20000;3.591962388666666E8
"testListIterator";30000;7.9767246255E8
"testListIterator";40000;1.4060454124E9
"testListIterator";50000;2.1901918752E9
"testListIterator";60000;3.1521814877E9
"testListIterator";70000;4.2865221543E9
"testListIterator";80000;5.6053662417E9
"testListIterator";90000;7.0973243708E9
"testListIterator";100000;8.7681012874E9
"testListIteratorWithIndex";10000;2.1722663721322853E7
"testListIteratorWithIndex";20000;8.7205675275E7
"testListIteratorWithIndex";30000;1.9676648265E8
"testListIteratorWithIndex";40000;3.506989179666667E8
"testListIteratorWithIndex";50000;5.4596811245E8
"testListIteratorWithIndex";60000;7.8685238345E8
"testListIteratorWithIndex";70000;1.0737810874E9
"testListIteratorWithIndex";80000;1.3993472126E9
"testListIteratorWithIndex";90000;1.7746572333E9
"testListIteratorWithIndex";100000;2.18873175E9
"testPeek";10000;14.296697468403021
"testPeek";20000;15.314219525418546
"testPeek";30000;18.34038519007531
"testPeek";40000;22.433222764302165
"testPeek";50000;26.52759329425305
"testPeek";60000;27.032538671388618
"testPeek";70000;30.053781083594266
"testPeek";80000;30.610460250522987
"testPeek";90000;30.956245546732248
"testPeek";100000;34.123186147535414
"testPop";10000;14.732646601716942
"testPop";20000;15.472069270336538
"testPop";30000;18.602351303905714
"testPop";40000;23.195570528714594
"testPop";50000;26.000973986559536
"testPop";60000;27.713627251590008
"testPop";70000;30.05086085096182
"testPop";80000;33.58096982553279
"testPop";90000;32.308862390862785
"testPop";100000;34.257182183058625
"testPush";10000;28477.972019174234
"testPush";20000;50045.12322199743
"testPush";30000;70596.79662174084
"testPush";40000;95620.26489145751
"testPush";50000;120761.77433777852
"testPush";60000;144217.95436611763
"testPush";70000;167684.4686106333
"testPush";80000;183920.84218451535
"testPush";90000;213633.82851496275
"testPush";100000;228288.94596196612
"testRemoveAll";10000;57538.25174132541
"testRemoveAll";20000;111177.86639481504
"testRemoveAll";30000;163783.06322914123
"testRemoveAll";40000;216416.32484665344
"testRemoveAll";50000;276773.55273516255
"testRemoveAll";60000;338023.48350262136
"testRemoveAll";70000;392476.5020191995
"testRemoveAll";80000;445120.69501428196
"testRemoveAll";90000;498453.2606419528
"testRemoveAll";100000;610468.2797180297
"testRemoveIndex";10000;9758.870453358624
"testRemoveIndex";20000;19441.077993394934
"testRemoveIndex";30000;29704.56972192841
"testRemoveIndex";40000;40012.69225522808
"testRemoveIndex";50000;49396.74508925252
"testRemoveIndex";60000;58751.28914566602
"testRemoveIndex";70000;67725.4521300608
"testRemoveIndex";80000;77169.0788712617
"testRemoveIndex";90000;85825.90057010984
"testRemoveIndex";100000;96551.82349845515
"testRemoveObject";10000;11126.246988259862
"testRemoveObject";20000;29645.89385627876
"testRemoveObject";30000;49048.34234797691
"testRemoveObject";40000;57240.91493893614
"testRemoveObject";50000;61205.97307974093
"testRemoveObject";60000;64196.09718840385
"testRemoveObject";70000;74999.94666467306
"testRemoveObject";80000;85537.10779794276
"testRemoveObject";90000;96237.87824641241
"testRemoveObject";100000;106944.08081113003
"testRetainAll";10000;56592.15448213229
"testRetainAll";20000;110022.88749674063
"testRetainAll";30000;166552.2929993624
"testRetainAll";40000;219990.44335254206
"testRetainAll";50000;276432.90373950277
"testRetainAll";60000;339705.0292331847
"testRetainAll";70000;390218.21845841303
"testRetainAll";80000;447124.1470684398
"testRetainAll";90000;507732.46177467436
"testRetainAll";100000;562554.0858171212
"testSearch";10000;11157.24602547835
"testSearch";20000;22862.31901369801
"testSearch";30000;32750.542594897688
"testSearch";40000;41408.52853581537
"testSearch";50000;48997.76059670703
"testSearch";60000;55045.91285332217
"testSearch";70000;65450.53049253903
"testSearch";80000;74811.42187714754
"testSearch";90000;82505.35032876066
"testSearch";100000;91432.17769199431
"testSet";10000;10274.870269388903
"testSet";20000;20404.66897895041
"testSet";30000;30062.485426074294
"testSet";40000;39671.0279780167
"testSet";50000;49135.35794108685
"testSet";60000;58807.267361805076
"testSet";70000;68716.84208888424
"testSet";80000;78062.47358047096
"testSet";90000;87731.50988669395
"testSet";100000;97043.97538690867
"testSize";10000;15.971628199870489
"testSize";20000;17.05686296534347
"testSize";30000;20.38029291679201
"testSize";40000;25.64464530325052
"testSize";50000;29.123241316609885
"testSize";60000;31.92989634907322
"testSize";70000;35.46897998088234
"testSize";80000;36.04630599855323
"testSize";90000;37.63209910643705
"testSize";100000;43.76068774852971
"testSort";10000;9.018345729242425E7
"testSort";20000;3.6028390826666665E8
"testSort";30000;8.1058733745E8
"testSort";40000;1.4343416542E9
"testSort";50000;2.2058711169E9
"testSort";60000;3.1632862333E9
"testSort";70000;4.3104718081E9
"testSort";80000;5.6219536459E9
"testSort";90000;7.1316745458E9
"testSort";100000;8.8073136793E9
"testSpliterator";10000;8.763576670833333E7
"testSpliterator";20000;3.503859026333333E8
