Size;Constructor();push(E);pop();peek();search(Object);empty();add(E);add(int, E);addAll(Collection);addAll(int, Collection);get(int);set(int, E);remove(int);remove(Object);removeAll(Collection);retainAll(Collection);clear();contains(Object);containsAll(Collection);indexOf(Object);indexOf(Object, int);lastIndexOf(Object, int);size();isEmpty();capacity();clone();trimToSize();ensureCapacity(int);subList(int, int);sort(Comparator);equals(Object);hashCode();iterator();listIterator();listIterator(int);spliterator();toArray();toArray(T[]);toString()
10000;20;27469;23;23;2303;22;27434;498;16303;806;28;38;551;15060;57150;54975;4527;4333;12355;11166;11572;10657;23;22;23;2649;1597;3090;24;12987;16177;10782;6327;6459;4262;27;1682;5915;183110
20000;27;50852;28;28;4693;26;49451;926;28141;1403;36;38;1088;26091;114619;109727;7719;7176;24360;22580;22927;21141;28;28;32;4115;2439;6137;30;25295;30810;21004;11198;11827;7200;31;2607;10822;375384
30000;33;71956;33;33;6985;30;69359;1323;39267;9042;41;47;1446;39017;170802;163524;7572;11396;35039;33596;33773;31867;33;28;39;3697;3311;5657;33;38055;45481;30924;17309;17348;10283;32;3295;16873;567770
40000;28;92628;33;31;9034;30;90650;1810;53532;2411;41;43;2110;52328;225314;218645;10405;15194;45911;45199;45110;42219;31;31;42;9392;5747;14983;34;51020;62422;43313;23042;24459;15071;33;5793;21855;747691
50000;30;113075;33;36;11338;31;111833;2260;65753;2916;46;63;2568;64939;279937;272553;12969;17811;58151;56163;56080;53097;36;31;37;8981;5968;12116;34;63807;76361;52247;27702;29880;17394;35;5952;26253;956745
60000;31;131565;38;38;13407;31;138351;2712;78259;14401;55;51;3023;78650;343463;330126;15675;20990;69325;67738;67782;62952;33;29;39;7544;7032;10775;36;75604;91865;62818;32656;34598;20384;32;6707;31358;1149874
70000;33;161912;39;41;15397;35;163743;3212;95755;4301;34;48;3579;91544;395837;382446;19073;27252;82496;78506;79063;74564;37;36;36;19568;10392;29201;49;92550;108557;74699;40512;42980;25549;37;10310;38925;1326373
80000;32;189960;46;39;17577;33;180207;3653;107533;4921;52;52;4247;104689;457862;441948;22465;29274;91082;90773;90401;84415;31;35;43;18002;9876;28957;60;104414;123314;85055;44535;49301;29668;38;9813;42192;1494204
90000;41;201506;37;47;19771;35;208957;4093;119780;5440;46;59;4603;116671;509047;494945;23786;34535;112343;101371;101426;95398;38;36;43;16456;12618;34017;46;117852;138180;96295;51858;56035;32024;39;10454;47239;1699808
100000;39;222885;49;45;21889;35;225519;4550;145222;5726;58;56;5097;130326;567507;548800;28187;36880;122415;112971;113612;105085;38;34;49;26485;13243;34274;5213;129265;156250;108115;58335;60911;36377;42;13171;55789;1853762
