Size;Constructor();push(E);pop();peek();search(Object);empty();add(E);add(int, E);addAll(Collection);addAll(int, Collection);get(int);set(int, E);remove(int);remove(Object);removeAll(Collection);retainAll(Collection);clear();contains(Object);containsAll(Collection);indexOf(Object);indexOf(Object, int);lastIndexOf(Object, int);size();isEmpty();capacity();clone();trimToSize();ensureCapacity(int);subList(int, int);sort(Comparator);equals(Object);hashCode();iterator();listIterator();listIterator(int);spliterator();toArray();toArray(T[]);toString()
10000;20;27805;22;22;2251;22;27456;525;16198;835;28;36;513;14814;56864;54406;4365;4111;12545;11093;11477;10770;22;22;22;2104;1630;3032;24;12718;15886;10729;6163;6346;4127;26;1703;5892;178556
20000;26;49577;27;27;4555;26;49376;931;29490;1360;33;35;924;25367;112342;107537;7615;7013;23817;22281;22630;20874;26;26;27;4314;2438;6085;28;24632;30285;20657;10946;11482;7033;29;2593;10677;376277
30000;27;72829;28;27;6828;27;71951;1337;38454;9016;36;37;1368;38288;170299;161805;7131;9776;35111;33388;33381;31229;27;27;31;3512;3121;5316;29;37039;44990;30765;15624;16614;9759;28;3106;15610;563790
40000;27;92876;27;27;8835;27;91603;1792;52499;2369;33;33;1820;50988;224281;213148;9518;14674;45957;44492;44503;41537;27;27;27;8237;5751;14016;28;49999;61207;42377;22486;23676;14565;27;5703;21654;741311
50000;27;110769;28;26;11002;26;110468;2251;64657;2891;33;33;2295;63645;278665;267539;11881;17097;57504;55603;55619;51921;26;27;26;7879;5948;10847;27;62128;75410;51759;26785;28296;19397;26;5950;26094;981774
60000;25;129305;27;26;13057;27;128493;2693;76811;14781;29;33;2773;76367;338525;327485;14218;19940;68618;66727;66728;62290;25;26;27;7127;6675;13497;27;74231;90419;61927;31948;33326;20153;25;6662;31363;1196370
70000;27;158533;27;26;14888;26;158918;3184;94324;4162;31;33;3213;89087;389873;375965;17019;25701;80479;77857;77897;72604;27;27;26;18343;9390;31174;27;89445;107574;74280;38418;40560;24539;27;10221;38634;1315058
80000;27;183436;28;29;17222;27;175841;3628;106415;4439;32;36;3708;101788;445281;426724;19587;28522;90291;88958;89001;82966;27;27;26;20377;9914;29371;29;102430;120294;83165;43291;46600;28396;27;9841;42705;1563499
90000;30;198176;27;27;19281;27;197483;4064;118001;5050;34;32;4176;114896;507253;487128;21327;32146;101507;100081;100095;93402;29;27;26;16212;10654;33447;28;114254;138864;93578;48613;50899;30277;27;12694;49299;1768446
100000;29;216884;28;31;21342;28;215166;4531;143166;5552;30;34;4611;127248;563590;539453;24615;35442;112718;111203;111504;103835;30;28;26;25315;13266;26832;28;126470;153025;105056;55197;58250;35107;29;13170;55340;1986760
