Size;Constructor();add(E);add(int, E);addAll(Collection);addAll(int, Collection);clear();clone();contains(Object);containsAll(Collection);empty();equals(Object);get(int);hashCode();indexOf(Object);indexOf(Object, int);isEmpty();iterator();lastIndexOf(Object, int);listIterator();listIterator(int);peek();pop();push(E);remove(int);remove(Object);removeAll(Collection);retainAll(Collection);search(Object);set(int, E);size();sort(Comparator);spliterator();subList(int, int);toArray();toArray(T[]);toString()
10000;15;26847;9728;36522;12099;17;91753957;10669;64781;17;90544999;9731;89828897;18972;19073;14;90018622;10566;89564279;21722664;14;15;28478;9759;11126;57538;56592;11157;10275;16;90183457;87635767;17;90009709;87783532;87817418
20000;16;45985;19455;58331;23798;19;367453135;21468;106548;18;361199850;19364;359700006;52769;52689;15;360099304;21278;359196239;87205675;15;15;50045;19441;29646;111178;110023;22862;20405;17;360283908;350385903;18;360658585;350475351;351223122
30000;17;63427;28746;69526;37485;22;817719708;32460;141185;21;811843048;28395;802209333;79374;79211;17;810269381;30419;797672463;196766483;18;19;70597;29705;49048;163783;166552;32751;30062;20;810587337;788932544;20;801730433;789557010;789011525
40000;20;88428;37813;85151;46480;21;1470654416;42110;170716;25;1436531384;37532;1414240442;84702;85322;21;1435074492;38722;1406045412;350698918;22;23;95620;40013;57241;216416;219990;41409;39671;26;1434341654;1403000321;24;1405066258;1404298904;1404762625
50000;21;109955;46800;94951;58140;26;2297540296;51543;204729;35;2254538967;46467;2190721288;79329;79565;24;2205267387;45365;2190191875;545968112;27;26;120762;49397;61206;276774;276433;48998;49135;29;2205871117;2199687325;27;2195048950;2192654375;2192935825
60000;34;148776;56009;115232;69449;30;3299293154;60811;243819;41;3172580300;55430;3150650683;89769;94224;26;3159245542;51894;3152181488;786852383;27;28;144218;58751;64196;338023;339705;55046;58807;32;3163286233;3158104408;31;3160729054;3159844725;3164275450
70000;43;172179;66778;133448;78830;30;4417420171;71800;267694;39;4305761163;64406;4281875375;107994;102881;31;4290262587;61109;4286522154;1073781087;30;30;167684;67725;75000;392477;390218;65451;68717;35;4310471808;4300339454;33;4299387292;4300901208;4295522229
80000;34;195956;75853;145055;92422;34;5829004121;82494;310076;36;5617436967;73587;5601061996;114451;109702;33;5615222567;69074;5605366242;1399347213;31;34;183921;77169;85537;445121;447124;74811;78062;36;5621953646;5615754866;35;5617817975;5616180004;5618283500
90000;37;243541;83349;164345;101163;33;7293123088;92278;363572;36;7118959196;82545;7125870537;117082;127077;36;7120621250;78676;7097324371;1774657233;31;32;213634;85826;96238;498453;507732;82505;87732;38;7131674546;7121943021;36;7118389367;7117278900;7120667738
100000;34;257678;91677;179463;113338;36;8901762454;101749;507754;38;8780355696;91625;8790864317;135722;131543;41;8785423829;86367;8768101287;2188731750;34;34;228289;96552;106944;610468;562554;91432;97044;44;8807313679;8796602308;34;8797241229;8799218933;8794165975
