"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,36522.094795,5862.620264,"ns/op",10000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,58331.274451,20807.058036,"ns/op",20000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,69525.646861,17003.154453,"ns/op",30000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,85150.503504,20325.094299,"ns/op",40000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,94950.968951,1360.066856,"ns/op",50000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,115231.569745,6801.062414,"ns/op",60000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,133447.607051,9071.085809,"ns/op",70000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,145055.370993,3183.920348,"ns/op",80000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,164344.768724,5961.384923,"ns/op",90000
"customstackV2.CustomStackBenchmark.testAddAll","avgt",1,10,179463.263060,3234.109080,"ns/op",100000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,12099.072971,167.789187,"ns/op",10000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,23797.603308,632.492454,"ns/op",20000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,37484.658176,5493.364184,"ns/op",30000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,46479.972853,1430.365255,"ns/op",40000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,58140.229859,1683.247883,"ns/op",50000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,69448.704178,1942.654265,"ns/op",60000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,78830.447281,1549.703941,"ns/op",70000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,92422.229131,3931.436642,"ns/op",80000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,101163.175870,3479.617896,"ns/op",90000
"customstackV2.CustomStackBenchmark.testAddAllAtIndex","avgt",1,10,113338.007019,2462.925671,"ns/op",100000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,9727.952288,57.251325,"ns/op",10000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,19455.047585,169.209016,"ns/op",20000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,28746.026010,601.731358,"ns/op",30000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,37812.518945,339.045935,"ns/op",40000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,46799.887227,686.679469,"ns/op",50000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,56008.661512,1190.924641,"ns/op",60000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,66778.304137,2831.998164,"ns/op",70000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,75853.150141,1722.896421,"ns/op",80000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,83348.742095,1731.508401,"ns/op",90000
"customstackV2.CustomStackBenchmark.testAddAtIndex","avgt",1,10,91676.754146,888.320434,"ns/op",100000
"customstackV2.CustomStackBenchmark.testAddElement","avgt",1,10,26847.485057,3198.173798,"ns/op",10000
